"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"codeRE",-28.0393683771685,24.4286389137563,847.43173484721,-1.14780723052805,0.25137207087411
"codeRL",49.2722771703396,14.2524507037684,579.219046418501,3.45710911017653,0.000586048194909642
"codeRP",62.2830654786801,16.2440725448901,727.397209850311,3.83420261800496,0.000136884889189479
"ST.PC1",0.322316711553872,0.123786774865109,587.438181792138,2.6038057127274,0.00945260335157478
"codeRE:warmdays",0.0512831302180031,0.264148891933709,845.567914460939,0.194144786459574,0.846109145232149
"codeRL:warmdays",0.857119956665959,0.135221750992338,804.441115285836,6.3386248911577,3.85934931481413e-10
"codeRP:warmdays",-0.0712715891085804,0.151110634657933,849.715674388465,-0.471651709159431,0.637296492931548
"codeRE:open.lag",1.02699073974209,0.25719028629629,554.836985576909,3.99311635960844,7.39877551852972e-05
"codeRL:open.lag",-0.0192300916164748,0.155382462341688,178.925857367302,-0.123759730195211,0.901644433500477
"codeRP:open.lag",-0.445226809404463,0.176854188777051,240.213177159565,-2.51747958294463,0.0124716032388158
"codeRE:summer.gdd",0.0345690052268989,0.0340716352463412,847.051033613869,1.01459777251551,0.310587316752218
"codeRL:summer.gdd",0.000438775588338056,0.0169421594322896,802.917849542057,0.0258984452419805,0.979344775325385
"codeRP:summer.gdd",0.0848480268861647,0.0196681817853558,854.460028649467,4.31397410356149,1.79072276834459e-05
"codeRE:year",2.90608802127478,0.671011238080131,848.788403574417,4.33090812247729,1.66234730988364e-05
"codeRL:year",-1.95029744901901,0.340286090443748,826.702375135304,-5.73134636939094,1.39585235381996e-08
"codeRP:year",-1.62788475550489,0.364285731948617,854.785050190266,-4.46870303373425,8.92790537599556e-06
"codeRE:uniqObsDays",0.74111153581172,0.269121752794869,852.368954417137,2.75381505996883,0.00601588958065082
"codeRL:uniqObsDays",0.507924383065698,0.0463642458951845,678.06982328924,10.9550877677157,7.92750951087912e-26
"codeRP:uniqObsDays",0.261499476657558,0.0450163166360099,796.595969858578,5.80899318733635,9.08140208685220e-09
